-8115,-4065,-5877,9939,-8623
-1911,-6760,-6683,5832,-4881
-9574,3161,-3789,7674,6977
5116,-6147,5100,-2941,6139
9501,9675,8093,5136,-8581
2170,-8524,1674,1786,4235
1257,-9267,5070,2693,-2918
3722,-4168,-8702,2985,5602
9201,5561,5471,-4308,-4803
8285,9131,8799,-2142,-3342
-6777,-4620,-8645,4426,-5397
-8770,-1505,1143,-2324,-3303
2955,-6500,-4171,-8629,4693
-5471,5147,6135,-8432,-4665
8385,-4056,-1690,8377,-5710
9170,-6902,5274,8998,3026
6233,8747,-7938,-4030,9565
-3000,5239,-7463,5537,-6269
-3334,-1613,1639,-3208,6713
2841,-7464,-8609,6065,9375
7594,5949,3795,-5395,-1892
9884,5327,6816,7279,2616
6785,7953,-6831,9995,-7823
1839,-5016,3929,-5659,-2219
1569,-5967,5421,-2358,-5858
-8502,-4983,-5893,1502,-4198
-1935,-3144,8743,8773,3589
-6264,6066,-6996,5145,-6063
8904,4962,2221,-4787,-3269
-8232,-5151,5261,2945,-8910
-5293,-5925,-6726,-2372,8624
-6215,-2007,1334,-8069,-8669
-7725,2264,-9987,2844,1432
5048,-5847,1627,-9741,2400
5427,2361,-4647,-9811,3402
3922,-1910,-5607,-2712,-8605
-1690,-2702,-5015,3381,6868
6689,-9473,7218,5060,1073
2751,8903,2281,8010,1490
4805,6269,-3293,4939,4287
-9527,4560,9419,-4683,-9401
-6705,3703,8290,3497,7838
-2899,-8950,5481,-6610,7556
3702,-8055,-5738,-3157,7724
3709,-4562,6374,2001,-3849
-7566,-9244,-9533,1421,7282
-4321,-1220,-9548,-8654,4457
7459,2437,3821,-1708,4085
4541,3582,-8754,7086,-7234
4887,-9470,7826,8461,9386
